stop_id,stop_name,stop_lat,stop_lon
"825GA00058","St.Stephen's Green ","53.339128708973","-6.26111748798404"
"825GA00059","St.Stephen's Green ","53.3391856681968","-6.26132541488195"
"825GA00062","Harcourt ","53.3336509121028","-6.26269173695206"
"825GA00070","Charlemont ","53.3306152452483","-6.25853598870766"
"825GA00071","Charlemont ","53.330598593982","-6.25862675376758"
"825GA00074","Ranelagh ","53.326139822635","-6.25612105038534"
"825GA00075","Ranelagh ","53.3261319365757","-6.25619643649453"
"825GA00083","Beechwood ","53.3209234117233","-6.25466755130786"
"825GA00084","Beechwood ","53.320931735949","-6.25462217836106"
"825GA00275","Cowper ","53.3163934083453","-6.25344151996891"
"825GA00276","Cowper ","53.3164010731402","-6.2533511500876"
"825GA00278","Milltown ","53.3096724384224","-6.25174998445441"
"825GA00279","Milltown ","53.3096715589899","-6.25168999189985"
"825GA00281","Windy Arbour ","53.3017475638249","-6.2507083607334"
"825GA00282","Windy Arbour ","53.3017466839581","-6.25064837931921"
"825GA00286","Dundrum ","53.2923905211743","-6.24518032276029"
"825GA00287","Dundrum ","53.2924255697923","-6.24511888166817"
"825GA00291","Balally ","53.2860547121413","-6.23671065468435"
"825GA00292","Balally ","53.2860985175201","-6.23663385627564"
"825GA00293","Sandyford ","53.2776301919892","-6.20462123372981"
"825GA00294","Sandyford ","53.2776744279957","-6.20457439139802"
"825GA00295","Kilmacud ","53.2829105207139","-6.22410700107201"
"825GA00296","Kilmacud ","53.2829644169277","-6.22410476594955"
"825GA00297","Stillorgan ","53.2793614400627","-6.21036733964785"
"825GA00298","Stillorgan ","53.2794146609887","-6.21032012590035"
"825GA00310","Central Park ","53.2701680261693","-6.20389941956604"
"825GA00311","Central Park ","53.2701033417103","-6.20378218443988"
"825GA00313","Glencairn ","53.2663248994713","-6.21013229223215"
"825GA00314","Glencairn ","53.2662678538822","-6.20992478703001"
"825GA00316","The Gallops ","53.2610932093991","-6.20591369676934"
"825GA00317","The Gallops ","53.2611462033569","-6.20585151740365"
"825GA00319","Leopardstown Valley ","53.2582472581284","-6.19838832357201"
"825GA00320","Leopardstown Valley ","53.2583007009795","-6.19835609866361"
"825GA00322","Ballyogan ","53.2549979541227","-6.18446604619674"
"825GA00323","Ballyogan ","53.2550691300511","-6.18441806716439"
"825GA00325","Carrickmines ","53.2543609054348","-6.17160341902405"
"825GA00326","Carrickmines ","53.2544053583289","-6.17157154706945"
"825GA00329","Laughanstown ","53.2505997126709","-6.15500876900899"
"825GA00330","Laughanstown ","53.2506347149286","-6.15494731602478"
"825GA00332","Cherrywood ","53.2453444110287","-6.14592931488556"
"825GA00333","Cherrywood ","53.2453876920787","-6.14582254949786"
"825GA00335","Bride's Glen ","53.2418708352915","-6.14278309230559"
"825GA00336","Bride's Glen ","53.2418717686749","-6.14284298641844"
"825GA00338","Cookstown ","53.2932931595014","-6.38408479509437"
"825GA00339","Cookstown ","53.2932576321259","-6.38411613830426"
"825GA00341","Hospital ","53.2893482491041","-6.37884879054193"
"825GA00342","Hospital ","53.2893133345387","-6.37892511107301"
"825GA00344","Tallaght ","53.2874574706805","-6.37464564744776"
